title,currency,value,status
deal_426,EUR,93.03,lost
deal_427,EUR,683.96,won
deal_428,GBP,287.14,open
deal_429,EUR,147.86,won
deal_430,USD,753.72,open
deal_431,GBP,414.61,lost
deal_432,USD,582.15,won
deal_433,EUR,873.49,open
deal_434,USD,383.23,lost
deal_435,GBP,461.86,lost
deal_436,EUR,237.71,won
deal_437,USD,470.57,open
deal_438,EUR,638.46,open
deal_439,EUR,921.05,deleted
deal_440,GBP,489.8,won
deal_441,GBP,283.64,deleted
deal_442,GBP,970.23,won
deal_443,GBP,341.07,deleted
deal_444,USD,645.69,open
deal_445,EUR,276.02,won
deal_446,EUR,718.17,deleted
deal_447,EUR,883.94,open
deal_448,USD,151.95,lost
deal_449,EUR,571.86,lost
deal_450,EUR,170.57,lost
deal_451,USD,13.69,deleted
deal_452,GBP,373.61,lost
deal_453,GBP,829.44,open
deal_454,EUR,616.54,lost
deal_455,EUR,484.1,open
deal_456,GBP,693.18,deleted
deal_457,EUR,706.66,open
deal_458,USD,70.1,won
deal_459,USD,505.84,deleted
deal_460,USD,769.98,deleted
deal_461,USD,455.91,deleted
deal_462,EUR,470.14,deleted
deal_463,GBP,824.34,open
deal_464,GBP,347.04,won
deal_465,GBP,119.04,deleted
deal_466,USD,290.94,deleted
deal_467,EUR,623.17,open
deal_468,USD,961.66,won
deal_469,EUR,882.88,deleted
deal_470,USD,294.47,won
deal_471,EUR,953.78,deleted
deal_472,GBP,600.38,won
deal_473,GBP,577.47,won
deal_474,GBP,673.2,open
deal_475,EUR,62.66,won
deal_476,GBP,944.82,deleted
deal_477,USD,209.77,lost
deal_478,GBP,976.16,open
deal_479,EUR,188.55,open
deal_480,USD,897.8,deleted
deal_481,EUR,651.39,open
deal_482,USD,540.96,deleted
deal_483,EUR,217.54,lost
deal_484,EUR,498.42,won
deal_485,EUR,363.65,won
deal_486,USD,477.07,open
deal_487,GBP,941.33,won
deal_488,GBP,453.12,open
deal_489,GBP,194.2,lost
deal_490,USD,851.12,deleted
deal_491,GBP,307.1,lost
deal_492,USD,190.73,lost
deal_493,EUR,737.5,open
deal_494,USD,868.65,open
deal_495,GBP,637.67,lost
deal_496,GBP,692.16,won
deal_497,EUR,928.27,lost
deal_498,GBP,353.8,lost
deal_499,USD,773.77,lost
deal_500,GBP,670.94,lost
deal_501,USD,777.77,won
deal_502,EUR,604.43,open
deal_503,EUR,670.86,lost
deal_504,GBP,469.66,deleted
deal_505,USD,524.62,won
deal_506,EUR,757.97,lost
deal_507,GBP,871.19,won
deal_508,USD,511.0,deleted
deal_509,EUR,851.84,won
deal_510,EUR,464.49,lost
deal_511,USD,632.96,won
deal_512,GBP,651.56,open
deal_513,EUR,200.1,open
deal_514,EUR,733.98,deleted
deal_515,USD,932.28,deleted
deal_516,EUR,152.56,deleted
deal_517,USD,484.07,lost
deal_518,USD,361.39,deleted
deal_519,USD,297.29,deleted
deal_520,GBP,980.83,deleted
deal_521,USD,431.52,deleted
deal_522,EUR,353.09,open
deal_523,EUR,235.14,deleted
deal_524,GBP,209.78,open
deal_525,GBP,347.65,lost
deal_526,USD,935.3,won
deal_527,GBP,710.47,won
deal_528,USD,122.55,open
deal_529,USD,844.44,lost
deal_530,GBP,890.74,won
deal_531,USD,546.76,deleted
deal_532,USD,494.03,won
deal_533,GBP,18.3,won
deal_534,EUR,380.69,deleted
deal_535,GBP,779.86,lost
deal_536,GBP,149.52,open
deal_537,GBP,407.77,open
deal_538,EUR,588.2,deleted
deal_539,USD,713.34,deleted
deal_540,EUR,761.81,lost
deal_541,USD,85.49,lost
deal_542,GBP,725.69,deleted
deal_543,EUR,907.69,open
deal_544,USD,421.68,lost
deal_545,USD,226.12,won
deal_546,EUR,519.22,deleted
deal_547,GBP,121.06,won
deal_548,GBP,483.48,won
deal_549,EUR,637.73,deleted
deal_550,EUR,747.94,lost
deal_551,EUR,172.54,won
deal_552,EUR,739.84,deleted
deal_553,USD,55.94,open
deal_554,USD,707.92,won
deal_555,GBP,558.41,lost
deal_556,EUR,363.93,lost
deal_557,GBP,150.35,open
deal_558,USD,241.52,lost
deal_559,EUR,625.64,deleted
deal_560,GBP,942.56,deleted
deal_561,GBP,187.48,won
deal_562,EUR,358.75,lost
deal_563,USD,958.61,deleted
deal_564,EUR,966.4,open
deal_565,EUR,498.46,won
deal_566,GBP,228.68,lost
deal_567,GBP,939.97,deleted
deal_568,EUR,806.12,lost
deal_569,GBP,20.98,lost
deal_570,USD,441.99,won
deal_571,EUR,950.46,deleted
deal_572,EUR,582.49,lost
deal_573,EUR,875.64,open
deal_574,USD,937.59,lost
deal_575,EUR,771.63,won
deal_576,GBP,505.39,lost
deal_577,GBP,928.44,won
deal_578,GBP,341.78,open
deal_579,USD,188.9,open
deal_580,EUR,708.68,deleted
deal_581,EUR,216.32,lost
deal_582,GBP,97.14,open
deal_583,USD,684.76,deleted
deal_584,GBP,44.1,won
deal_585,GBP,471.97,won
deal_586,GBP,518.29,open
deal_587,USD,724.68,deleted
deal_588,GBP,427.87,deleted
deal_589,EUR,386.67,won
deal_590,USD,341.04,deleted
deal_591,EUR,324.31,deleted
deal_592,USD,342.29,open
deal_593,EUR,730.94,deleted
deal_594,EUR,593.93,lost
deal_595,USD,814.91,open
deal_596,EUR,735.51,deleted
deal_597,GBP,49.8,won
deal_598,GBP,85.7,deleted
deal_599,GBP,912.05,won
deal_600,USD,152.73,open
deal_601,EUR,446.73,lost
deal_602,EUR,782.91,open
deal_603,USD,316.05,deleted
deal_604,GBP,794.15,open
deal_605,EUR,116.73,won
deal_606,EUR,493.97,won
deal_607,USD,124.78,deleted
deal_608,EUR,341.24,deleted
deal_609,EUR,678.25,open
deal_610,EUR,983.0,deleted
deal_611,USD,287.83,won
deal_612,GBP,105.86,lost
deal_613,GBP,843.17,lost
deal_614,GBP,507.06,deleted
deal_615,EUR,18.33,deleted
deal_616,USD,694.84,open
deal_617,EUR,417.03,won
deal_618,GBP,350.82,deleted
deal_619,USD,618.88,won
deal_620,USD,378.87,lost
deal_621,GBP,144.53,deleted
deal_622,GBP,280.1,deleted
deal_623,EUR,25.31,deleted
deal_624,GBP,806.85,won
deal_625,EUR,341.98,open
deal_626,GBP,281.11,deleted
deal_627,GBP,169.53,deleted
deal_628,EUR,624.99,deleted
deal_629,EUR,822.11,lost
deal_630,USD,893.85,deleted
deal_631,EUR,378.11,lost
deal_632,USD,405.91,won
deal_633,USD,406.7,won
deal_634,EUR,939.43,lost
deal_635,EUR,46.23,deleted
deal_636,USD,163.21,deleted
deal_637,EUR,577.91,lost
deal_638,EUR,303.54,lost
deal_639,USD,827.28,open
deal_640,USD,344.41,open
deal_641,USD,685.68,won
deal_642,USD,231.96,deleted
deal_643,USD,666.06,open
deal_644,GBP,814.21,lost
deal_645,GBP,586.13,won
deal_646,GBP,902.02,won
deal_647,GBP,742.74,lost
deal_648,EUR,585.56,won
deal_649,EUR,918.3,open
deal_650,USD,833.35,open
deal_651,EUR,345.73,lost
deal_652,GBP,884.31,open
deal_653,GBP,674.46,open
deal_654,USD,610.78,won
deal_655,EUR,227.05,won
deal_656,GBP,58.31,won
deal_657,EUR,931.91,lost
deal_658,EUR,922.67,deleted
deal_659,GBP,694.65,won
deal_660,GBP,27.16,open
deal_661,USD,366.06,deleted
deal_662,EUR,441.17,lost
deal_663,EUR,793.42,deleted
deal_664,USD,122.28,open
deal_665,EUR,134.13,lost
deal_666,EUR,646.5,won
deal_667,EUR,867.47,lost
deal_668,USD,766.86,deleted
deal_669,EUR,422.95,open
deal_670,EUR,2.02,open
deal_671,EUR,784.84,lost
deal_672,EUR,401.15,won
deal_673,GBP,58.43,won
deal_674,GBP,67.37,lost
deal_675,EUR,514.04,lost
deal_676,USD,890.68,lost
deal_677,EUR,7.99,won
deal_678,EUR,99.36,deleted
deal_679,GBP,219.95,lost
deal_680,EUR,435.13,won
deal_681,EUR,346.55,deleted
deal_682,EUR,719.52,lost
deal_683,GBP,629.3,deleted
deal_684,GBP,836.06,open
deal_685,EUR,690.47,won
deal_686,GBP,517.5,won
deal_687,EUR,688.99,deleted
deal_688,EUR,365.64,lost
deal_689,GBP,583.96,lost
deal_690,GBP,774.09,won
deal_691,EUR,395.08,won
deal_692,USD,611.59,won
deal_693,USD,859.34,open
deal_694,GBP,571.3,won
deal_695,EUR,8.08,won
deal_696,GBP,74.2,deleted
deal_697,GBP,383.12,open
deal_698,GBP,736.95,lost
deal_699,GBP,544.29,open
deal_700,GBP,54.91,deleted
deal_701,EUR,56.5,deleted
deal_702,GBP,326.32,deleted
deal_703,USD,656.2,deleted
deal_704,USD,525.58,lost
deal_705,GBP,182.72,open
deal_706,GBP,784.37,won
deal_707,EUR,447.59,open
deal_708,EUR,858.78,won
deal_709,GBP,402.51,open
deal_710,EUR,26.48,won
deal_711,GBP,514.4,lost
deal_712,GBP,296.28,lost
deal_713,GBP,358.05,open
deal_714,USD,606.95,open
deal_715,USD,259.2,lost
deal_716,USD,971.26,lost
deal_717,GBP,585.18,open
deal_718,USD,903.13,lost
deal_719,USD,0.15,open
deal_720,USD,593.08,deleted
deal_721,USD,447.19,deleted
deal_722,GBP,24.32,deleted
deal_723,USD,833.34,deleted
deal_724,USD,682.09,deleted
deal_725,GBP,24.92,won
deal_726,USD,237.15,deleted
deal_727,USD,103.11,won
deal_728,USD,514.23,lost
deal_729,USD,212.23,deleted
deal_730,EUR,130.42,lost
deal_731,EUR,867.3,lost
deal_732,USD,388.9,won
deal_733,GBP,499.52,won
deal_734,GBP,741.58,open
deal_735,EUR,165.7,won
deal_736,EUR,34.54,open
deal_737,USD,512.53,lost
deal_738,USD,578.76,won
deal_739,EUR,510.04,won
deal_740,EUR,303.46,open
deal_741,GBP,691.55,won
deal_742,EUR,359.0,won
deal_743,USD,310.47,won
deal_744,USD,477.01,deleted
deal_745,EUR,494.64,won
deal_746,EUR,956.54,lost
deal_747,USD,987.14,lost
deal_748,EUR,147.82,won
deal_749,USD,652.9,won
deal_750,USD,110.34,lost
deal_751,USD,643.41,open
deal_752,GBP,355.2,won
deal_753,USD,181.03,lost
deal_754,GBP,335.06,deleted
deal_755,EUR,891.69,deleted
deal_756,GBP,53.21,won
deal_757,GBP,558.82,won
deal_758,GBP,610.04,lost
deal_759,EUR,96.37,deleted
deal_760,GBP,997.49,deleted
deal_761,GBP,206.55,won
deal_762,USD,999.95,won
deal_763,GBP,656.52,won
deal_764,USD,684.3,deleted
deal_765,GBP,198.7,won
deal_766,EUR,780.62,open
deal_767,USD,872.77,deleted
deal_768,EUR,124.59,lost
deal_769,GBP,494.99,open
deal_770,EUR,97.14,lost
deal_771,GBP,627.96,lost
deal_772,GBP,328.96,open
deal_773,EUR,839.09,open
deal_774,USD,379.01,open
deal_775,GBP,720.3,won
deal_776,USD,156.95,won
deal_777,EUR,734.65,open
deal_778,USD,22.29,open
deal_779,EUR,85.08,deleted
deal_780,GBP,393.01,open
deal_781,USD,970.8,lost
deal_782,GBP,549.57,lost
deal_783,USD,491.88,lost
deal_784,GBP,973.76,open
deal_785,EUR,577.58,deleted
deal_786,GBP,738.7,deleted
deal_787,EUR,311.35,won
deal_788,GBP,122.9,open
deal_789,USD,348.85,won
deal_790,GBP,905.92,lost
deal_791,EUR,401.12,open
deal_792,USD,502.85,deleted
deal_793,GBP,684.72,open
deal_794,EUR,468.28,won
deal_795,USD,894.69,lost
deal_796,GBP,135.2,open
deal_797,USD,419.73,lost
deal_798,USD,937.85,won
deal_799,EUR,549.95,lost
deal_800,USD,899.19,deleted
deal_801,EUR,102.58,won
deal_802,GBP,846.64,open
deal_803,GBP,358.77,deleted
deal_804,GBP,370.15,lost
deal_805,GBP,845.49,lost
deal_806,EUR,531.12,won
deal_807,EUR,729.52,lost
deal_808,USD,69.67,open
deal_809,USD,106.42,open
deal_810,USD,808.3,deleted
deal_811,GBP,614.85,lost
deal_812,EUR,625.78,open
deal_813,USD,886.53,lost
deal_814,EUR,145.46,lost
deal_815,USD,289.49,deleted
deal_816,EUR,585.12,lost
deal_817,GBP,419.3,open
deal_818,USD,688.33,open
deal_819,USD,451.94,deleted
deal_820,USD,686.24,lost
deal_821,EUR,894.18,deleted
deal_822,GBP,811.22,lost
deal_823,EUR,64.16,deleted
deal_824,GBP,359.63,won
deal_825,EUR,265.52,lost
deal_826,USD,742.05,lost
deal_827,USD,221.08,won
deal_828,USD,764.37,deleted
deal_829,USD,84.97,open
deal_830,USD,149.07,open
deal_831,EUR,381.78,won
deal_832,GBP,289.15,deleted
deal_833,USD,949.64,deleted
deal_834,GBP,687.13,deleted
deal_835,USD,205.06,deleted
deal_836,GBP,394.22,lost
deal_837,GBP,117.84,won
deal_838,GBP,983.27,won
deal_839,EUR,39.49,deleted
deal_840,GBP,579.36,deleted
deal_841,GBP,131.83,lost
deal_842,USD,937.69,open
deal_843,USD,439.19,deleted
deal_844,GBP,355.99,deleted
deal_845,USD,298.72,open
deal_846,USD,650.93,deleted
deal_847,GBP,206.73,won
deal_848,GBP,618.29,deleted
deal_849,GBP,321.77,won
deal_850,GBP,344.84,won
deal_851,GBP,124.28,open
deal_852,EUR,305.75,open
deal_853,GBP,25.34,lost
deal_854,EUR,126.92,deleted
deal_855,EUR,598.57,won
deal_856,GBP,409.94,won
deal_857,GBP,680.44,won
deal_858,USD,965.88,deleted
deal_859,EUR,169.39,won
deal_860,USD,160.25,open
deal_861,USD,240.82,lost
deal_862,GBP,492.15,won
deal_863,EUR,585.62,won
deal_864,GBP,860.78,won
deal_865,USD,319.76,won
deal_866,USD,209.85,won
deal_867,EUR,133.57,open
deal_868,USD,906.98,lost
deal_869,GBP,70.55,lost
deal_870,EUR,824.44,deleted
deal_871,USD,338.74,deleted
deal_872,EUR,813.27,lost
deal_873,USD,889.53,open
deal_874,GBP,558.36,won
deal_875,EUR,358.29,lost
deal_876,EUR,978.61,deleted
deal_877,USD,243.1,open
deal_878,EUR,970.19,won
deal_879,EUR,481.21,lost
deal_880,GBP,260.13,won
deal_881,EUR,76.25,lost
deal_882,GBP,461.74,lost
deal_883,GBP,329.88,won
deal_884,EUR,441.98,won
deal_885,GBP,158.39,deleted
deal_886,GBP,478.15,won
deal_887,USD,281.81,lost
deal_888,EUR,488.7,won
deal_889,GBP,946.82,open
deal_890,USD,150.77,deleted
deal_891,GBP,578.0,won
deal_892,GBP,750.47,won
deal_893,EUR,797.9,open
deal_894,EUR,227.18,open
deal_895,USD,122.97,lost
deal_896,USD,91.9,deleted
deal_897,EUR,952.98,lost
deal_898,USD,586.21,open
deal_899,USD,859.19,open
deal_900,GBP,839.08,open
deal_901,USD,116.27,won
deal_902,EUR,955.17,open
deal_903,USD,658.34,won
deal_904,USD,564.48,lost
deal_905,EUR,555.96,won
